area_responsecode,form_type,domain,type,filter_key,code,var_purpose,question_description,domain_description,programa,question_split
Banco de Socorros_groupForm.group4.group4a.dm4_q3,formulario,dm4,select_one yesNoNA,keep,dm4_q3,,4.3 O provedor sabe interpretar o algoritmo de Testagem Rápida de HIV?,Conhecimento do Material de apoio e instrumentos,ATS,dm4_q3
Banco de Socorros_groupForm.group4.group4a.dm4_q4,formulario,dm4,select_one yesNoNA,keep,dm4_q4,,4.4. O provedor sabe interpretar o Procedimento Operacional Padrão para o teste Determine?,Conhecimento do Material de apoio e instrumentos,ATS,dm4_q4
Banco de Socorros_groupForm.group4.group4a.dm4_q5,formulario,dm4,select_one yesNoNA,keep,dm4_q5,,4.5. O provedor sabe interpretar o Procedimento Operacional Padrão para o teste Unigold?,Conhecimento do Material de apoio e instrumentos,ATS,dm4_q5
Banco de Socorros_groupForm.group4.group4a.dm4_q6,formulario,dm4,select_one yesNoNA,keep,dm4_q6,,4.6. O provedor sabe usar o Cartão do utente?,Conhecimento do Material de apoio e instrumentos,ATS,dm4_q6
Banco de Socorros_groupForm.groupDS4.naCountG4,formulario,dm4,calculate,keep,naCountG4,naCount,,Conhecimento do Material de apoio e instrumentos,ATS,naCountG4
Banco de Socorros_groupForm.groupDS4.yesCountG4,formulario,dm4,calculate,keep,yesCountG4,yesCount,,Conhecimento do Material de apoio e instrumentos,ATS,yesCountG4
Banco de Socorros_groupForm.groupDS4.noCountG4,formulario,dm4,calculate,keep,noCountG4,noCount,,Conhecimento do Material de apoio e instrumentos,ATS,noCountG4
Banco de Socorros_groupForm.groupDS4.domainScore4,formulario,dm4,calculate,keep,domainScore4,domain_score,,Conhecimento do Material de apoio e instrumentos,ATS,domainScore4
Banco de Socorros_groupForm.groupDS4.yesCountG4_view,formulario,dm4,remove,remove,yesCountG4_view,,,Conhecimento do Material de apoio e instrumentos,ATS,yesCountG4_view
Banco de Socorros_groupForm.groupDS4.noCountG4_view,formulario,dm4,remove,remove,noCountG4_view,,,Conhecimento do Material de apoio e instrumentos,ATS,noCountG4_view
Banco de Socorros_groupForm.groupDS4.Domain4_result_view,formulario,dm4,remove,remove,Domain4_result_view,,,Conhecimento do Material de apoio e instrumentos,ATS,Domain4_result_view
Banco de Socorros_groupForm.group5.group5a.dm5_q1,formulario,dm5,remove,remove,dm5_q1,,"5. Solicite o arquivo dos Formulários de Ratreio Familiar, retire 5 formulários, respectivas FM e o bloco de convites, e verifique:",FRF/FM,ATS,dm5_q1
Banco de Socorros_groupForm.group5.group5a.dm5_q2,formulario,dm5,select_one yesNoNA,keep,dm5_q2,,"5.1. Se os Formulários seleccionados (5) estão devidamente preenchidos? (idenfificação dos contactos elegíveis, etc)",FRF/FM,ATS,dm5_q2
Banco de Socorros_groupForm.group5.group5a.dm5_q3,formulario,dm5,select_one yesNoNA,keep,dm5_q3,,5.2 Se a informação dos FRF estão actualizados na Ficha Mestra?,FRF/FM,ATS,dm5_q3
Banco de Socorros_groupForm.group5.group5a.dm5_q4,formulario,dm5,select_one yesNoNA,keep,dm5_q4,,5.3 Se foram entregues os convites para os contactos identificados no FRF? (verificar se no bloco de convites tem a cópia dos convites entregues),FRF/FM,ATS,dm5_q4
Banco de Socorros_groupForm.groupDS5.naCountG5,formulario,dm5,calculate,keep,naCountG5,naCount,,FRF/FM,ATS,naCountG5
Banco de Socorros_groupForm.groupDS5.yesCountG5,formulario,dm5,calculate,keep,yesCountG5,yesCount,,FRF/FM,ATS,yesCountG5
Banco de Socorros_groupForm.groupDS5.noCountG5,formulario,dm5,calculate,keep,noCountG5,noCount,,FRF/FM,ATS,noCountG5
Banco de Socorros_groupForm.groupDS5.domainScore5,formulario,dm5,calculate,keep,domainScore5,domain_score,,FRF/FM,ATS,domainScore5
Banco de Socorros_groupForm.groupDS5.yesCountG5_view,formulario,dm5,remove,remove,yesCountG5_view,,,FRF/FM,ATS,yesCountG5_view
Banco de Socorros_groupForm.groupDS5.noCountG5_view,formulario,dm5,remove,remove,noCountG5_view,,,FRF/FM,ATS,noCountG5_view
Banco de Socorros_groupForm.groupDS5.Domain5_result_view,formulario,dm5,remove,remove,Domain5_result_view,,,FRF/FM,ATS,Domain5_result_view
Banco de Socorros_groupForm.group6.group6a.dm6_q1,formulario,dm6,remove,remove,dm6_q1,,"6. Solicite o livro de registo de ATS em uso, o RM e o Mapa de consumo de Testes Rápidos do sector (do mês anterior ao mês de supervisão). E verifique:",Mini AQD e preenchimento dos instrumentos,ATS,dm6_q1
Banco de Socorros_groupForm.group6.group6a.dm6_q2,formulario,dm6,select_one yesNoNA,keep,dm6_q2,,6.1 Se a capa do livro de ATS está devidamente preenchida?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q2
Banco de Socorros_groupForm.group6.group6a.dm6_q3,formulario,dm6,select_one yesNoNA,keep,dm6_q3,,6.2 Se o livro de ATS está devidamente preenchido? (verificar aleatoriamente 2 páginas),Mini AQD e preenchimento dos instrumentos,ATS,dm6_q3
Banco de Socorros_groupForm.group6.group6b.dm6_q4,formulario,dm6,remove,remove,dm6_q4,,"6.3 Faça a triangulação entre o livro de ATS e o RM, e verifique se há concordância de dados dos seguintes indicadores correspondentes ao mês estatístico anterior:",Mini AQD e preenchimento dos instrumentos,ATS,dm6_q4
Banco de Socorros_groupForm.group6.group6b.dm6_q5,formulario,dm6,select_one yesNoNA,keep,dm6_q5,,a) Aconselhados e testados com resultado Negativo?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q5
Banco de Socorros_groupForm.group6.group6b.dm6_q6,formulario,dm6,select_one yesNoNA,keep,dm6_q6,,b) Aconselhados e testados com resultado Positivo?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q6
Banco de Socorros_groupForm.group6.group6b.dm6_q7,formulario,dm6,select_one yesNoNA,keep,dm6_q7,,c) HSH aconselhados e testados?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q7
Banco de Socorros_groupForm.group6.group6b.dm6_q8,formulario,dm6,select_one yesNoNA,keep,dm6_q8,,d) TS aconselhados e testados?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q8
Banco de Socorros_groupForm.group6.group6b.dm6_q9,formulario,dm6,select_one yesNoNA,keep,dm6_q9,,e) PID aconselhados e testados?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q9
Banco de Socorros_groupForm.group6.group6b.dm6_q10,formulario,dm6,select_one yesNoNA,keep,dm6_q10,,f) Reclusos aconselhados e testados?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q10
Banco de Socorros_groupForm.group6.group6c.dm6_q11,formulario,dm6,select_one yesNoNA,keep,dm6_q11,,g) Mineiros aconselhados e testados?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q11
Banco de Socorros_groupForm.group6.group6c.dm6_q12,formulario,dm6,select_one yesNoNA,keep,dm6_q12,,h)Parceiros sexuais aconselhados e testados?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q12
Banco de Socorros_groupForm.group6.group6c.dm6_q13,formulario,dm6,select_one yesNoNA,keep,dm6_q13,,i) Filhos menores de 15 anos aconselhados e testados?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q13
Banco de Socorros_groupForm.group6.group6c.dm6_q14,formulario,dm6,select_one yesNoNA,keep,dm6_q14,,j) Pai/Mãe de filhos menores de 15 anos aconselhados e testados?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q14
Banco de Socorros_groupForm.group6.group6c.dm6_q15,formulario,dm6,select_one yesNoNA,keep,dm6_q15,,k) Utentes aconselhados e testados com resultado positivo no mês anterior?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q15
Banco de Socorros_groupForm.group6.group6c.dm6_q16,formulario,dm6,select_one yesNoNA,keep,dm6_q16,,l) Utentes aconselhados e testados com resultado positivo ligados aos serviços clínicos no mês anterior?,Mini AQD e preenchimento dos instrumentos,ATS,dm6_q16
Banco de Socorros_groupForm.groupDS6.naCountG6,formulario,dm6,calculate,keep,naCountG6,naCount,,Mini AQD e preenchimento dos instrumentos,ATS,naCountG6
Banco de Socorros_groupForm.groupDS6.yesCountG6,formulario,dm6,calculate,keep,yesCountG6,yesCount,,Mini AQD e preenchimento dos instrumentos,ATS,yesCountG6
Banco de Socorros_groupForm.groupDS6.noCountG6,formulario,dm6,calculate,keep,noCountG6,noCount,,Mini AQD e preenchimento dos instrumentos,ATS,noCountG6
Banco de Socorros_groupForm.groupDS6.domainScore6,formulario,dm6,calculate,keep,domainScore6,domain_score,,Mini AQD e preenchimento dos instrumentos,ATS,domainScore6
Banco de Socorros_groupForm.groupDS6.yesCountG6_view,formulario,dm6,remove,remove,yesCountG6_view,,,Mini AQD e preenchimento dos instrumentos,ATS,yesCountG6_view
Banco de Socorros_groupForm.groupDS6.noCountG6_view,formulario,dm6,remove,remove,noCountG6_view,,,Mini AQD e preenchimento dos instrumentos,ATS,noCountG6_view
Banco de Socorros_groupForm.groupDS6.Domain6_result_view,formulario,dm6,remove,remove,Domain6_result_view,,,Mini AQD e preenchimento dos instrumentos,ATS,Domain6_result_view
Banco de Socorros_groupForm.group7.group7a.dm7_q1,formulario,dm7,select_one yesNoNA,keep,dm7_q1,,7.1 Verifique se é feita abertura da Ficha Mestra para os casos HIV positivos?,Ligação,ATS,dm7_q1
Banco de Socorros_groupForm.group7.group7a.dm7_q2,formulario,dm7,select_one yesNoNA,keep,dm7_q2,,7.2 Peça para o provedor explicar como é feita a referência dos casos HIV negativos para os serviços de prevenção de HIV?,Ligação,ATS,dm7_q2
Banco de Socorros_groupForm.groupDS7.naCountG7,formulario,dm7,calculate,keep,naCountG7,naCount,,Ligação,ATS,naCountG7
Banco de Socorros_groupForm.groupDS7.yesCountG7,formulario,dm7,calculate,keep,yesCountG7,yesCount,,Ligação,ATS,yesCountG7
Banco de Socorros_groupForm.groupDS7.noCountG7,formulario,dm7,calculate,keep,noCountG7,noCount,,Ligação,ATS,noCountG7
Banco de Socorros_groupForm.groupDS7.domainScore7,formulario,dm7,calculate,keep,domainScore7,domain_score,,Ligação,ATS,domainScore7
Banco de Socorros_groupForm.groupDS7.yesCountG7_view,formulario,dm7,remove,remove,yesCountG7_view,,,Ligação,ATS,yesCountG7_view
Banco de Socorros_groupForm.groupDS7.noCountG7_view,formulario,dm7,remove,remove,noCountG7_view,,,Ligação,ATS,noCountG7_view
Banco de Socorros_groupForm.groupDS7.Domain7_result_view,formulario,dm7,remove,remove,Domain7_result_view,,,Ligação,ATS,Domain7_result_view
Banco de Socorros_groupForm.group8.group8a.dm8_q1,formulario,dm8,select_one yesNoNA,keep,dm8_q1,,8 Verifique se o Mapa de Consumo está devidamente preenchido?,Preechimento de Mapa de consumo de testes,ATS,dm8_q1
Banco de Socorros_groupForm.groupDS8.naCountG8,formulario,dm8,calculate,keep,naCountG8,naCount,,Preechimento de Mapa de consumo de testes,ATS,naCountG8
Banco de Socorros_groupForm.groupDS8.yesCountG8,formulario,dm8,calculate,keep,yesCountG8,yesCount,,Preechimento de Mapa de consumo de testes,ATS,yesCountG8
Banco de Socorros_groupForm.groupDS8.noCountG8,formulario,dm8,calculate,keep,noCountG8,noCount,,Preechimento de Mapa de consumo de testes,ATS,noCountG8
Banco de Socorros_groupForm.groupDS8.domainScore8,formulario,dm8,calculate,keep,domainScore8,domain_score,,Preechimento de Mapa de consumo de testes,ATS,domainScore8
Banco de Socorros_groupForm.groupDS8.yesCountG8_view,formulario,dm8,remove,remove,yesCountG8_view,,,Preechimento de Mapa de consumo de testes,ATS,yesCountG8_view
Banco de Socorros_groupForm.groupDS8.noCountG8_view,formulario,dm8,remove,remove,noCountG8_view,,,Preechimento de Mapa de consumo de testes,ATS,noCountG8_view
Banco de Socorros_groupForm.groupDS8.Domain8_result_view,formulario,dm8,remove,remove,Domain8_result_view,,,Preechimento de Mapa de consumo de testes,ATS,Domain8_result_view
Banco de Socorros_groupForm.groupDS9.naCountG9,formulario,dm9,calculate,keep,naCountG9,naCount,,DESEMPENHO GERAL,ATS,naCountG9
Banco de Socorros_groupForm.groupDS9.yesCountG9,formulario,dm9,calculate,keep,yesCountG9,yesCount,,DESEMPENHO GERAL,ATS,yesCountG9
Banco de Socorros_groupForm.groupDS9.noCountG9,formulario,dm9,calculate,keep,noCountG9,noCount,,DESEMPENHO GERAL,ATS,noCountG9
Banco de Socorros_groupForm.groupDS9.domainScore9,formulario,dm9,calculate,keep,domainScore9,domain_score,,DESEMPENHO GERAL,ATS,domainScore9
Banco de Socorros_groupForm.groupDS9.yesCountG9_view,formulario,dm9,remove,remove,yesCountG9_view,,,DESEMPENHO GERAL,ATS,yesCountG9_view
Banco de Socorros_groupForm.groupDS9.noCountG9_view,formulario,dm9,remove,remove,noCountG9_view,,,DESEMPENHO GERAL,ATS,noCountG9_view
Banco de Socorros_groupForm.groupDS9.Domain9_result_view,formulario,dm9,remove,remove,Domain9_result_view,,,DESEMPENHO GERAL,ATS,Domain9_result_view
ATS C -Aconselhamento Testagem em Saúde na Comunidade_totalDomains,formulario,,remove,remove,,,,,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_domain1,formulario,dm1,remove,remove,,,,Disponibilidade de Testes e consumíveis,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_domain2,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_domain3,formulario,dm3,remove,remove,,,,Mini AQD ATSC: Livro de convergência e livro de actores comunitários,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_domain4,formulario,dm4,remove,remove,,,,Ligação,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_domain5,formulario,dm5,remove,remove,,,,Auto-Teste de HIV,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_domain6,formulario,dm6,remove,remove,,,,Preechimento de Mapa de consumo de testes,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_domain7,formulario,dm7,remove,remove,,,,DESEMPENHO GERAL,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm1_question1,formulario,dm1,remove,remove,,,,Disponibilidade de Testes e consumíveis,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm1_question2,formulario,dm1,remove,remove,,,,Disponibilidade de Testes e consumíveis,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm1_question3,formulario,dm1,remove,remove,,,,Disponibilidade de Testes e consumíveis,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm1_question4,formulario,dm1,remove,remove,,,,Disponibilidade de Testes e consumíveis,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question1,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question2,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question3,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question4,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question5,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question6,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question7,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question8,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question9,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question10,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question11,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question12,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
ATS C -Aconselhamento Testagem em Saúde na Comunidade_dm2_question13,formulario,dm2,remove,remove,,,,Mini AQDATSC: Livro de convergência,ATS,0
